tpo	abs	sal
0.0000	0.1250	0.0141
0.0081	0.3407	0.0138
0.0162	0.5433	0.0138
0.0244	0.5595	0.0136
0.0325	0.5580	0.0136
0.0406	0.4773	0.0135
0.0487	0.2726	0.0134
0.0569	0.2555	0.0131
0.0650	0.3810	0.0130
0.0731	0.3449	0.0126
0.0812	0.3728	0.0124
0.0893	0.4327	0.0124
0.0975	0.2947	0.0123
0.1056	0.0614	0.0122
0.1137	0.0280	0.0121
0.1218	0.0585	0.0121
0.1300	0.0806	0.0119
0.1381	0.1136	0.0118
0.1462	0.1345	0.0117
0.1543	0.1154	0.0116
0.1624	0.0844	0.0115
0.1706	0.0542	0.0114
0.1787	0.0102	0.0113
0.1868	0.0000	0.0112
0.1949	0.0000	0.0111
0.2031	0.0022	0.0110
0.2112	0.0062	0.0110
0.2193	0.0120	0.0109
0.2274	0.0010	0.0109
0.2356	0.0000	0.0107
0.2437	0.0000	0.0106
0.2518	0.0000	0.0104
0.2599	0.0000	0.0103
0.2680	0.0000	0.0101
0.2762	0.0000	0.0099
0.2843	0.0000	0.0097
0.2924	0.0000	0.0095
0.3005	0.0000	0.0094
0.3087	0.0000	0.0092
0.3168	0.0000	0.0090
0.3249	0.0000	0.0088
0.3330	0.0000	0.0086
0.3411	0.0000	0.0085
0.3493	0.0239	0.0083
0.3574	0.0234	0.0081
0.3655	0.0254	0.0080
0.3736	0.0417	0.0079
0.3818	0.0443	0.0079
0.3899	0.0241	0.0078
0.3980	0.0115	0.0078
0.4061	0.0000	0.0079
0.4142	0.0000	0.0080
0.4224	0.0000	0.0081
0.4305	0.0000	0.0082
0.4386	0.0000	0.0084
0.4467	0.0000	0.0085
0.4549	0.0000	0.0085
0.4630	0.0000	0.0085
0.4711	0.0000	0.0085
0.4792	0.0057	0.0085
0.4873	0.0246	0.0084
0.4955	0.0272	0.0083
0.5036	0.0318	0.0082
0.5117	0.0380	0.0080
0.5198	0.0540	0.0079
0.5280	0.0707	0.0077
0.5361	0.0680	0.0076
0.5442	0.0586	0.0075
0.5523	0.0556	0.0074
0.5604	0.0486	0.0072
0.5686	0.0370	0.0071
0.5767	0.0425	0.0070
0.5848	0.0485	0.0069
0.5929	0.0528	0.0067
0.6011	0.0845	0.0067
0.6092	0.1177	0.0065
0.6173	0.1473	0.0064
0.6254	0.1845	0.0063
0.6336	0.2205	0.0062
0.6417	0.2328	0.0061
0.6498	0.2429	0.0060
0.6579	0.2528	0.0059
0.6660	0.2783	0.0058
0.6742	0.3107	0.0057
0.6823	0.3551	0.0056
0.6904	0.3970	0.0055
0.6985	0.4488	0.0054
0.7067	0.4852	0.0053
0.7148	0.5096	0.0053
0.7229	0.5204	0.0052
0.7310	0.5368	0.0051
0.7391	0.5537	0.0050
0.7473	0.5855	0.0050
0.7554	0.6187	0.0049
0.7635	0.6404	0.0048
0.7716	0.6439	0.0048
0.7798	0.6474	0.0047
0.7879	0.6313	0.0046
0.7960	0.6229	0.0045
0.8041	0.6330	0.0045
0.8122	0.6520	0.0044
0.8204	0.6807	0.0044
0.8285	0.7180	0.0043
0.8366	0.7371	0.0043
0.8447	0.7450	0.0042
0.8529	0.7314	0.0042
0.8610	0.7027	0.0042
0.8691	0.6922	0.0041
0.8772	0.6952	0.0041
0.8853	0.6977	0.0041
0.8935	0.7042	0.0041
0.9016	0.7210	0.0041
0.9097	0.7199	0.0040
0.9178	0.6749	0.0040
0.9260	0.6322	0.0040
0.9341	0.6163	0.0040
0.9422	0.6072	0.0040
0.9503	0.6020	0.0039
0.9585	0.6075	0.0039
0.9666	0.6180	0.0039
0.9747	0.6205	0.0038
0.9828	0.6116	0.0038
0.9909	0.5942	0.0038
0.9991	0.5821	0.0038
1.0072	0.5741	0.0037
1.0153	0.5645	0.0037
1.0234	0.5615	0.0036
1.0316	0.5600	0.0036
1.0397	0.5566	0.0036
1.0478	0.5342	0.0035
1.0559	0.5160	0.0035
1.0640	0.4976	0.0034
1.0722	0.4747	0.0034
1.0803	0.4565	0.0033
1.0884	0.4504	0.0033
1.0965	0.4263	0.0032
1.1047	0.4058	0.0032
1.1128	0.3824	0.0031
1.1209	0.3604	0.0031
1.1290	0.3259	0.0030
1.1371	0.3160	0.0030
1.1453	0.3280	0.0029
1.1534	0.3291	0.0029
1.1615	0.3143	0.0028
1.1696	0.3112	0.0028
1.1778	0.3162	0.0027
1.1859	0.3042	0.0027
1.1940	0.2938	0.0026
1.2021	0.3086	0.0026
1.2102	0.3175	0.0025
1.2184	0.3163	0.0025
1.2265	0.3103	0.0024
1.2346	0.2981	0.0024
1.2427	0.2740	0.0024
1.2509	0.2482	0.0023
1.2590	0.2314	0.0023
1.2671	0.2215	0.0022
1.2752	0.2080	0.0022
1.2833	0.2086	0.0022
1.2915	0.2130	0.0021
1.2996	0.2227	0.0021
1.3077	0.2456	0.0021
1.3158	0.2517	0.0020
1.3240	0.2388	0.0020
1.3321	0.2270	0.0020
1.3402	0.2117	0.0019
1.3483	0.1845	0.0019
1.3565	0.1718	0.0019
1.3646	0.1939	0.0019
1.3727	0.2180	0.0019
1.3808	0.2270	0.0018
1.3889	0.2259	0.0018
1.3971	0.2080	0.0018
1.4052	0.1880	0.0018
1.4133	0.1571	0.0018
1.4214	0.1276	0.0017
1.4296	0.1340	0.0017
1.4377	0.1510	0.0017
1.4458	0.1513	0.0017
1.4539	0.1513	0.0017
1.4620	0.1703	0.0016
1.4702	0.1764	0.0016
1.4783	0.1679	0.0016
1.4864	0.1731	0.0016
1.4945	0.1670	0.0016
1.5027	0.1500	0.0016
1.5108	0.1440	0.0015
1.5189	0.1404	0.0015
1.5270	0.1266	0.0015
1.5351	0.1270	0.0015
1.5433	0.1317	0.0015
1.5514	0.1253	0.0015
1.5595	0.1164	0.0014
1.5676	0.1091	0.0014
1.5758	0.0906	0.0014
1.5839	0.0811	0.0014
1.5920	0.0741	0.0013
1.6001	0.0620	0.0013
1.6082	0.0480	0.0013
1.6164	0.0529	0.0013
1.6245	0.0609	0.0012
1.6326	0.0620	0.0012
1.6407	0.0550	0.0012
1.6489	0.0538	0.0012
1.6570	0.0568	0.0011
1.6651	0.0580	0.0011
1.6732	0.0537	0.0011
1.6813	0.0577	0.0011
1.6895	0.0584	0.0011
1.6976	0.0586	0.0011
1.7057	0.0730	0.0010
1.7138	0.0839	0.0010
1.7220	0.0865	0.0010
1.7301	0.0895	0.0010
1.7382	0.0876	0.0010
1.7463	0.0716	0.0010
1.7545	0.0567	0.0010
1.7626	0.0453	0.0010
1.7707	0.0337	0.0009
1.7788	0.0370	0.0009
1.7869	0.0496	0.0009
1.7951	0.0534	0.0009
1.8032	0.0540	0.0009
1.8113	0.0651	0.0009
1.8194	0.0790	0.0008
1.8276	0.0730	0.0008
1.8357	0.0620	0.0008
1.8438	0.0650	0.0008
1.8519	0.0710	0.0008
1.8600	0.0620	0.0007
1.8682	0.0559	0.0007
1.8763	0.0602	0.0007
1.8844	0.0698	0.0007
1.8925	0.0635	0.0007
1.9007	0.0565	0.0007
1.9088	0.0506	0.0007
1.9169	0.0433	0.0006
1.9250	0.0390	0.0006
1.9331	0.0432	0.0006
1.9413	0.0471	0.0006
1.9494	0.0490	0.0006
1.9575	0.0400	0.0006
1.9656	0.0241	0.0006
