tpo	abs	sal
0.0000	0.0000	0.0113
0.0081	0.1115	0.0111
0.0162	0.2524	0.0110
0.0244	0.2018	0.0108
0.0325	0.1312	0.0107
0.0406	0.0471	0.0105
0.0487	0.0000	0.0102
0.0569	0.0000	0.0104
0.0650	0.1444	0.0107
0.0731	0.2127	0.0110
0.0812	0.2870	0.0113
0.0893	0.3756	0.0110
0.0975	0.2519	0.0105
0.1056	0.0241	0.0101
0.1137	0.0000	0.0097
0.1218	0.0148	0.0096
0.1300	0.0326	0.0095
0.1381	0.0514	0.0094
0.1462	0.0699	0.0094
0.1543	0.0711	0.0093
0.1624	0.0551	0.0092
0.1706	0.0341	0.0092
0.1787	0.0012	0.0091
0.1868	0.0000	0.0090
0.1949	0.0000	0.0090
0.2031	0.0000	0.0089
0.2112	0.0000	0.0089
0.2193	0.0000	0.0089
0.2274	0.0000	0.0090
0.2356	0.0000	0.0091
0.2437	0.0000	0.0092
0.2518	0.0000	0.0094
0.2599	0.0000	0.0094
0.2680	0.0000	0.0094
0.2762	0.0000	0.0094
0.2843	0.0000	0.0093
0.2924	0.0000	0.0091
0.3005	0.0000	0.0090
0.3087	0.0000	0.0088
0.3168	0.0000	0.0085
0.3249	0.0000	0.0083
0.3330	0.0000	0.0080
0.3411	0.0000	0.0077
0.3493	0.0000	0.0074
0.3574	0.0000	0.0072
0.3655	0.0493	0.0068
0.3736	0.1550	0.0067
0.3818	0.2864	0.0063
0.3899	0.4582	0.0062
0.3980	0.6447	0.0059
0.4061	0.8582	0.0058
0.4142	1.0593	0.0055
0.4224	1.2886	0.0054
0.4305	1.5074	0.0051
0.4386	1.7629	0.0050
0.4467	2.0314	0.0047
0.4549	2.3580	0.0046
0.4630	2.6203	0.0043
0.4711	2.9091	0.0043
0.4792	3.1863	0.0040
0.4873	3.5209	0.0040
0.4955	3.8050	0.0038
0.5036	4.0930	0.0037
0.5117	4.3468	0.0034
0.5198	4.6359	0.0034
0.5280	4.8615	0.0032
0.5361	5.0925	0.0030
0.5442	5.2695	0.0029
0.5523	5.4690	0.0029
0.5604	5.6288	0.0028
0.5686	5.8205	0.0028
0.5767	5.9494	0.0027
0.5848	6.0934	0.0027
0.5929	6.2232	0.0025
0.6011	6.3811	0.0025
0.6092	6.4839	0.0025
0.6173	6.5874	0.0024
0.6254	6.6763	0.0024
0.6336	6.7898	0.0024
0.6417	6.8714	0.0023
0.6498	6.9578	0.0023
0.6579	7.0278	0.0023
0.6660	7.1342	0.0023
0.6742	7.2219	0.0023
0.6823	7.3215	0.0023
0.6904	7.4021	0.0023
0.6985	7.4974	0.0023
0.7067	7.5607	0.0023
0.7148	7.6272	0.0023
0.7229	7.6618	0.0024
0.7310	7.6925	0.0024
0.7391	7.7040	0.0024
0.7473	7.7068	0.0024
0.7554	7.6802	0.0024
0.7635	7.6344	0.0024
0.7716	7.5839	0.0025
0.7798	7.5327	0.0025
0.7879	7.4716	0.0025
0.7960	7.4059	0.0025
0.8041	7.3589	0.0026
0.8122	7.2921	0.0026
0.8204	7.2046	0.0026
0.8285	7.1092	0.0026
0.8366	7.0149	0.0026
0.8447	6.9065	0.0026
0.8529	6.7992	0.0026
0.8610	6.6829	0.0027
0.8691	6.5916	0.0027
0.8772	6.5144	0.0027
0.8853	6.4498	0.0027
0.8935	6.3794	0.0027
0.9016	6.3180	0.0027
0.9097	6.2585	0.0026
0.9178	6.1832	0.0026
0.9260	6.1074	0.0026
0.9341	6.0476	0.0026
0.9422	6.0004	0.0025
0.9503	5.9559	0.0025
0.9585	5.9113	0.0024
0.9666	5.8783	0.0024
0.9747	5.8474	0.0024
0.9828	5.7938	0.0024
0.9909	5.7457	0.0023
0.9991	5.6963	0.0023
1.0072	5.6452	0.0023
1.0153	5.5915	0.0022
1.0234	5.5608	0.0022
1.0316	5.5316	0.0022
1.0397	5.5022	0.0022
1.0478	5.4487	0.0021
1.0559	5.3943	0.0021
1.0640	5.3139	0.0021
1.0722	5.2322	0.0021
1.0803	5.1386	0.0020
1.0884	5.0618	0.0020
1.0965	4.9742	0.0019
1.1047	4.9175	0.0019
1.1128	4.8392	0.0019
1.1209	4.7721	0.0018
1.1290	4.6616	0.0018
1.1371	4.5815	0.0018
1.1453	4.5161	0.0017
1.1534	4.4668	0.0017
1.1615	4.3802	0.0017
1.1696	4.3388	0.0017
1.1778	4.2977	0.0016
1.1859	4.2339	0.0016
1.1940	4.1564	0.0016
1.2021	4.1150	0.0016
1.2102	4.0563	0.0016
1.2184	4.0099	0.0016
1.2265	3.9586	0.0015
1.2346	3.8989	0.0015
1.2427	3.8137	0.0015
1.2509	3.7546	0.0015
1.2590	3.7101	0.0015
1.2671	3.6646	0.0015
1.2752	3.6189	0.0015
1.2833	3.6002	0.0015
1.2915	3.5577	0.0014
1.2996	3.5158	0.0014
1.3077	3.4966	0.0014
1.3158	3.4623	0.0014
1.3240	3.4068	0.0014
1.3321	3.3949	0.0014
1.3402	3.3755	0.0014
1.3483	3.3298	0.0013
1.3565	3.2990	0.0013
1.3646	3.3113	0.0013
1.3727	3.3160	0.0013
1.3808	3.2993	0.0013
1.3889	3.2682	0.0013
1.3971	3.2269	0.0013
1.4052	3.1857	0.0013
1.4133	3.1456	0.0013
1.4214	3.1098	0.0013
1.4296	3.1000	0.0013
1.4377	3.0991	0.0013
1.4458	3.0861	0.0013
1.4539	3.0700	0.0013
