%tpo	abs	sal
%min	mAU	M
0.0000	0.0000	0.0158
0.0116	0.0000	0.0155
0.0231	0.0000	0.0154
0.0347	0.0000	0.0150
0.0462	0.0000	0.0149
0.0578	0.0000	0.0146
0.0693	0.0000	0.0143
0.0809	0.0000	0.0140
0.0924	0.0000	0.0138
0.1040	0.0000	0.0136
0.1155	0.0000	0.0133
0.1271	0.0000	0.0132
0.1387	0.0000	0.0129
0.1502	0.0000	0.0127
0.1618	0.0000	0.0125
0.1733	0.0000	0.0124
0.1849	0.0000	0.0121
0.1964	0.0000	0.0119
0.2080	0.0000	0.0118
0.2195	0.0000	0.0116
0.2311	0.0000	0.0113
0.2426	0.0000	0.0112
0.2542	0.0000	0.0111
0.2658	0.0000	0.0108
0.2773	0.0000	0.0107
0.2889	0.0000	0.0105
0.3004	0.0000	0.0103
0.3120	0.0000	0.0101
0.3235	0.0000	0.0100
0.3351	0.0000	0.0097
0.3466	0.0000	0.0095
0.3582	0.0000	0.0093
0.3697	0.0000	0.0091
0.3813	0.0000	0.0089
0.3929	0.0000	0.0087
0.4044	0.0000	0.0085
0.4160	0.0000	0.0083
0.4275	0.0000	0.0082
0.4391	0.0000	0.0080
0.4506	0.0000	0.0076
0.4622	0.0000	0.0072
0.4737	0.0000	0.0068
0.4853	0.0000	0.0064
0.4968	0.0000	0.0060
0.5084	0.0000	0.0056
0.5200	0.0000	0.0053
0.5315	0.0000	0.0050
0.5431	0.0000	0.0048
0.5546	0.0000	0.0046
0.5662	0.0000	0.0046
0.5777	0.0000	0.0046
0.5893	0.0000	0.0047
0.6008	0.0000	0.0048
0.6124	0.0000	0.0050
0.6239	0.0000	0.0053
0.6355	0.0000	0.0056
0.6470	0.0000	0.0059
0.6586	0.0000	0.0062
0.6702	0.0000	0.0065
0.6817	0.0000	0.0067
0.6933	0.0000	0.0069
0.7048	0.0000	0.0072
0.7164	0.0000	0.0074
0.7279	0.0000	0.0076
0.7395	0.0000	0.0078
0.7510	0.0000	0.0079
0.7626	0.0000	0.0080
0.7741	0.0000	0.0081
0.7857	0.0000	0.0082
0.7973	0.0000	0.0082
0.8088	0.0000	0.0082
0.8204	0.0000	0.0082
0.8319	0.0000	0.0082
0.8435	0.0000	0.0081
0.8550	0.0000	0.0080
0.8666	0.0000	0.0079
0.8781	0.0000	0.0079
0.8897	0.0000	0.0078
0.9012	0.0000	0.0077
0.9128	0.0000	0.0076
0.9244	0.0000	0.0075
0.9359	0.0000	0.0074
0.9475	0.0000	0.0073
0.9590	0.0000	0.0072
0.9706	0.0000	0.0071
0.9821	0.0000	0.0069
0.9937	0.0000	0.0069
1.0052	0.0000	0.0067
1.0168	0.0000	0.0066
1.0283	0.0000	0.0065
1.0399	0.0000	0.0064
1.0515	0.0000	0.0062
1.0630	0.0000	0.0061
1.0746	0.0000	0.0059
1.0861	0.0000	0.0058
1.0977	0.0000	0.0057
1.1092	0.0000	0.0056
1.1208	0.0000	0.0055
1.1323	0.0000	0.0054
1.1439	0.0000	0.0053
1.1554	0.0000	0.0052
1.1670	0.0000	0.0051
1.1786	0.0000	0.0050
1.1901	0.0000	0.0049
1.2017	0.0000	0.0048
1.2132	0.0000	0.0047
1.2248	0.0000	0.0046
1.2363	0.0000	0.0045
1.2479	0.0000	0.0044
1.2594	0.0000	0.0043
1.2710	0.0000	0.0042
1.2825	0.0000	0.0041
1.2941	0.0000	0.0041
1.3057	0.0000	0.0040
1.3172	0.0000	0.0039
1.3288	0.0000	0.0038
1.3403	0.0000	0.0038
1.3519	0.0000	0.0037
1.3634	0.0000	0.0036
1.3750	0.0000	0.0036
1.3865	0.0000	0.0035
1.3981	0.0000	0.0034
1.4096	0.0000	0.0034
1.4212	0.0000	0.0033
1.4328	0.0000	0.0032
1.4443	0.0000	0.0032
1.4559	0.0000	0.0031
1.4674	0.0000	0.0031
1.4790	0.0000	0.0030
1.4905	0.0000	0.0030
1.5021	0.0000	0.0029
1.5136	0.0000	0.0029
1.5252	0.0000	0.0028
1.5367	0.0000	0.0028
1.5483	0.0000	0.0027
1.5599	0.0000	0.0027
1.5714	0.0000	0.0026
1.5830	0.0000	0.0026
1.5945	0.0000	0.0025
1.6061	0.0000	0.0025
1.6176	0.0000	0.0024
1.6292	0.0000	0.0024
1.6407	0.0000	0.0024
1.6523	0.0000	0.0023
1.6638	0.0000	0.0023
1.6754	0.0000	0.0022
1.6870	0.0000	0.0022
1.6985	0.0000	0.0021
1.7101	0.0000	0.0021
1.7216	0.0000	0.0021
1.7332	0.0000	0.0020
1.7447	0.0000	0.0020
1.7563	0.0000	0.0020
1.7678	0.0000	0.0019
1.7794	0.0000	0.0019
1.7909	0.0000	0.0018
1.8025	0.0000	0.0018
