tpo	abs	sal
0.0000	0.0000	0.0158
0.0116	0.0000	0.0155
0.0231	0.0000	0.0154
0.0347	0.0000	0.0150
0.0462	0.0000	0.0149
0.0578	0.0000	0.0146
0.0693	0.0000	0.0143
0.0809	0.0000	0.0140
0.0924	0.0000	0.0138
0.1040	0.0000	0.0136
0.1155	0.0000	0.0133
0.1271	0.0000	0.0132
0.1387	0.0000	0.0129
0.1502	0.0000	0.0127
0.1618	0.0000	0.0125
0.1733	0.0000	0.0124
0.1849	0.0000	0.0121
0.1964	0.0000	0.0119
0.2080	0.0000	0.0118
0.2195	0.0000	0.0116
0.2311	0.0000	0.0113
0.2426	0.0000	0.0112
0.2542	0.0000	0.0111
0.2658	0.0000	0.0108
0.2773	0.0000	0.0107
0.2889	0.0000	0.0105
0.3004	0.0000	0.0103
0.3120	0.0000	0.0101
0.3235	0.0000	0.0100
0.3351	0.0000	0.0097
0.3466	0.0000	0.0095
0.3582	0.0000	0.0093
0.3697	0.0000	0.0091
0.3813	0.0000	0.0089
0.3929	0.0000	0.0087
0.4044	0.0000	0.0085
0.4160	0.0000	0.0083
0.4275	0.0000	0.0082
0.4391	0.0000	0.0080
0.4506	0.0000	0.0076
0.4622	0.0000	0.0072
0.4737	0.0000	0.0068
0.4853	0.0000	0.0064
0.4968	0.2033	0.0060
0.5084	0.6229	0.0056
0.5200	1.0814	0.0053
0.5315	1.5403	0.0050
0.5431	1.9510	0.0048
0.5546	2.3803	0.0046
0.5662	2.8366	0.0046
0.5777	3.2698	0.0046
0.5893	3.6334	0.0047
0.6008	3.9503	0.0048
0.6124	4.2324	0.0050
0.6239	4.4442	0.0053
0.6355	4.6583	0.0056
0.6470	4.8203	0.0059
0.6586	4.9460	0.0062
0.6702	5.0436	0.0065
0.6817	5.1208	0.0067
0.6933	5.1998	0.0069
0.7048	5.2578	0.0072
0.7164	5.3462	0.0074
0.7279	5.4002	0.0076
0.7395	5.4811	0.0078
0.7510	5.5348	0.0079
0.7626	5.5691	0.0080
0.7741	5.5813	0.0081
0.7857	5.5707	0.0082
0.7973	5.5691	0.0082
0.8088	5.5368	0.0082
0.8204	5.5041	0.0082
0.8319	5.4575	0.0082
0.8435	5.3930	0.0081
0.8550	5.3448	0.0080
0.8666	5.2827	0.0079
0.8781	5.2002	0.0079
0.8897	5.1107	0.0078
0.9012	5.0011	0.0077
0.9128	4.8820	0.0076
0.9244	4.7778	0.0075
0.9359	4.6461	0.0074
0.9475	4.4896	0.0073
0.9590	4.3946	0.0072
0.9706	4.2559	0.0071
0.9821	4.1124	0.0069
0.9937	3.9925	0.0069
1.0052	3.8758	0.0067
1.0168	3.7454	0.0066
1.0283	3.6160	0.0065
1.0399	3.5156	0.0064
1.0515	3.4041	0.0062
1.0630	3.2776	0.0061
1.0746	3.1563	0.0059
1.0861	3.0498	0.0058
1.0977	2.9529	0.0057
1.1092	2.8344	0.0056
1.1208	2.7443	0.0055
1.1323	2.6398	0.0054
1.1439	2.5329	0.0053
1.1554	2.4298	0.0052
1.1670	2.2997	0.0051
1.1786	2.1773	0.0050
1.1901	2.0594	0.0049
1.2017	1.9771	0.0048
1.2132	1.9299	0.0047
1.2248	1.8703	0.0046
1.2363	1.8002	0.0045
1.2479	1.7538	0.0044
1.2594	1.7023	0.0043
1.2710	1.6257	0.0042
1.2825	1.5626	0.0041
1.2941	1.4950	0.0041
1.3057	1.4412	0.0040
1.3172	1.4295	0.0039
1.3288	1.3889	0.0038
1.3403	1.3529	0.0038
1.3519	1.3139	0.0037
1.3634	1.2611	0.0036
1.3750	1.2259	0.0036
1.3865	1.1969	0.0035
1.3981	1.1598	0.0034
1.4096	1.1066	0.0034
1.4212	1.0963	0.0033
1.4328	1.0762	0.0032
1.4443	1.0741	0.0032
1.4559	1.0563	0.0031
1.4674	1.0223	0.0031
1.4790	0.9699	0.0030
1.4905	0.9147	0.0030
1.5021	0.9250	0.0029
1.5136	0.9315	0.0029
1.5252	0.9552	0.0028
1.5367	0.9454	0.0028
1.5483	0.9133	0.0027
1.5599	0.9038	0.0027
1.5714	0.8768	0.0026
1.5830	0.8725	0.0026
1.5945	0.8523	0.0025
1.6061	0.7985	0.0025
1.6176	0.7783	0.0024
1.6292	0.7414	0.0024
1.6407	0.6989	0.0024
1.6523	0.6940	0.0023
1.6638	0.6881	0.0023
1.6754	0.6940	0.0022
1.6870	0.6780	0.0022
1.6985	0.6711	0.0021
1.7101	0.6598	0.0021
1.7216	0.6388	0.0021
1.7332	0.6463	0.0020
1.7447	0.6106	0.0020
1.7563	0.5913	0.0020
1.7678	0.5762	0.0019
1.7794	0.5597	0.0019
1.7909	0.5645	0.0018
1.8025	0.5780	0.0018
1.8141	0.5532	0.0018
